Nom de la rue proche;Code de la rue proche;N° de police le plus proche;Identifiant;Geo Point;Geo Shape
Rue de Bruxelles;1214;40;10;50.4658802103,4.861565154;"{""coordinates"": [4.861565154, 50.4658802103], ""type"": ""Point""}"
Place Saint-Aubain;1287;7;36;50.4641327753,4.8601970504;"{""coordinates"": [4.8601970504, 50.4641327753], ""type"": ""Point""}"
Place du Palais de Justice;1278;6;39;50.4655157342,4.8590159794;"{""coordinates"": [4.8590159794, 50.4655157342], ""type"": ""Point""}"
Rue de la Tour;1301;10;71;50.4634013272,4.8681200513;"{""coordinates"": [4.8681200513, 50.4634013272], ""type"": ""Point""}"
Rue Lucien Namêche;1273;16;76;50.4669308712,4.8687738303;"{""coordinates"": [4.8687738303, 50.4669308712], ""type"": ""Point""}"
Place Maurice Servais;1297;8;81;50.4622932429,4.8648065344;"{""coordinates"": [4.8648065344, 50.4622932429], ""type"": ""Point""}"
Rue des Echasseurs;1229;12;83;50.462625719,4.8657931229;"{""coordinates"": [4.8657931229, 50.462625719], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;112B;205;50.4568136585,4.8708279816;"{""coordinates"": [4.8708279816, 50.4568136585], ""type"": ""Point""}"
Rue du Séminaire;1296;11B;105;50.4628189638,4.8585235348;"{""coordinates"": [4.8585235348, 50.4628189638], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;79;204;50.4575185875,4.8699362538;"{""coordinates"": [4.8699362538, 50.4575185875], ""type"": ""Point""}"
Rue de l'Arsenal;1202;25;28;50.4648395066,4.8580907582;"{""coordinates"": [4.8580907582, 50.4648395066], ""type"": ""Point""}"
Rue des Croisiers;1223;17;48;50.467278398,4.8643781718;"{""coordinates"": [4.8643781718, 50.467278398], ""type"": ""Point""}"
Rue des Dames Blanches;1226;24;65;50.4671431308,4.8672897253;"{""coordinates"": [4.8672897253, 50.4671431308], ""type"": ""Point""}"
Rue Pepin;1279;7;84;50.4650642813,4.8676837678;"{""coordinates"": [4.8676837678, 50.4650642813], ""type"": ""Point""}"
Rue des Bourgeois;1804;7B;116;50.4665758775,4.8749926087;"{""coordinates"": [4.8749926087, 50.4665758775], ""type"": ""Point""}"
Boulevard Frère Orban;1236;1A;109;50.4633552692,4.8578776627;"{""coordinates"": [4.8578776627, 50.4633552692], ""type"": ""Point""}"
Rue Dewez;1812;16;127;50.467748262,4.8709676449;"{""coordinates"": [4.8709676449, 50.467748262], ""type"": ""Point""}"
Rue Delvaux;1811;24;132;50.4682253478,4.8705604028;"{""coordinates"": [4.8705604028, 50.4682253478], ""type"": ""Point""}"
Place Wiertz;1691;1;410;50.4643565141,4.8494185074;"{""coordinates"": [4.8494185074, 50.4643565141], ""type"": ""Point""}"
Rue du Séminaire;1296;11B;106;50.4630882487,4.857921242;"{""coordinates"": [4.857921242, 50.4630882487], ""type"": ""Point""}"
Place Abbé Joseph André;1027;11;95;50.4700000144,4.8606705807;"{""coordinates"": [4.8606705807, 50.4700000144], ""type"": ""Point""}"
Rue de Fer;1234;91;1;50.4667364038,4.8653580799;"{""coordinates"": [4.8653580799, 50.4667364038], ""type"": ""Point""}"
Avenue Fernand Golenvaux;1243;11;70;50.4627339164,4.8689044249;"{""coordinates"": [4.8689044249, 50.4627339164], ""type"": ""Point""}"
Rue Lucien Namêche;1273;48;89;50.4679181493,4.8683895667;"{""coordinates"": [4.8683895667, 50.4679181493], ""type"": ""Point""}"
Rue Jean Baptiste Brabant;1805;27;114;50.4650928247,4.8726313982;"{""coordinates"": [4.8726313982, 50.4650928247], ""type"": ""Point""}"
Avenue des Combattants;1220;32;150;50.4685340013,4.8563052013;"{""coordinates"": [4.8563052013, 50.4685340013], ""type"": ""Point""}"
Place Joséphine Charlotte;5521;4;217;50.4604003271,4.8766176218;"{""coordinates"": [4.8766176218, 50.4604003271], ""type"": ""Point""}"
Rond-point du Nord;1027;5;94;50.4702708949,4.8592249864;"{""coordinates"": [4.8592249864, 50.4702708949], ""type"": ""Point""}"
Square Léopold;1261;1;42;50.4681936438,4.8651744731;"{""coordinates"": [4.8651744731, 50.4681936438], ""type"": ""Point""}"
Boulevard Frère Orban;1236;9;26;50.4658193198,4.8553861857;"{""coordinates"": [4.8553861857, 50.4658193198], ""type"": ""Point""}"
Rue Lelièvre;1260;1;35;50.4646314776,4.8608976137;"{""coordinates"": [4.8608976137, 50.4646314776], ""type"": ""Point""}"
Place du Palais de Justice;1260;1;38;50.4653093174,4.8608436724;"{""coordinates"": [4.8608436724, 50.4653093174], ""type"": ""Point""}"
Place de l'Ecole des Cadets;1813;2;46;50.4657929922,4.874950148;"{""coordinates"": [4.874950148, 50.4657929922], ""type"": ""Point""}"
Avenue de Stassart;1298;2;73;50.4677401457,4.8568828637;"{""coordinates"": [4.8568828637, 50.4677401457], ""type"": ""Point""}"
Rue des Bourgeois;1804;14;118;50.4662778115,4.8734087253;"{""coordinates"": [4.8734087253, 50.4662778115], ""type"": ""Point""}"
Chaussée de Louvain;3730;311;501;50.4773435524,4.8772432721;"{""coordinates"": [4.8772432721, 50.4773435524], ""type"": ""Point""}"
Place Léopold;1817;7;121;50.4684493236,4.8685318117;"{""coordinates"": [4.8685318117, 50.4684493236], ""type"": ""Point""}"
Boulevard Frère Orban;1236;1A;107;50.463516173,4.8574564986;"{""coordinates"": [4.8574564986, 50.463516173], ""type"": ""Point""}"
Rue Patenier;1664;27;407;50.4638961402,4.8474741945;"{""coordinates"": [4.8474741945, 50.4638961402], ""type"": ""Point""}"
Rue de Bruxelles;1214;23;7;50.4653443566,4.8629459993;"{""coordinates"": [4.8629459993, 50.4653443566], ""type"": ""Point""}"
Rue des Croisiers;1223;48;49;50.467469502,4.8630776386;"{""coordinates"": [4.8630776386, 50.467469502], ""type"": ""Point""}"
Rue Godefroid;1242;53;54;50.467857916,4.8624583839;"{""coordinates"": [4.8624583839, 50.467857916], ""type"": ""Point""}"
Rue Galliot;1239;22;64;50.4680470157,4.8675658984;"{""coordinates"": [4.8675658984, 50.4680470157], ""type"": ""Point""}"
Rue Pepin;1279;15;85;50.4654149788,4.868274404;"{""coordinates"": [4.868274404, 50.4654149788], ""type"": ""Point""}"
Boulevard Cauchy;1807;43;124;50.4673913342,4.8746989042;"{""coordinates"": [4.8746989042, 50.4673913342], ""type"": ""Point""}"
Rue Delvaux;1811;10;130;50.4675142919,4.869977167;"{""coordinates"": [4.869977167, 50.4675142919], ""type"": ""Point""}"
Rue de l'Ange;1200;16;79;50.4631945962,4.8661595257;"{""coordinates"": [4.8661595257, 50.4631945962], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;219;211;50.4550031068,4.8771634319;"{""coordinates"": [4.8771634319, 50.4550031068], ""type"": ""Point""}"
Rue de Bruxelles;1214;24;8;50.4654645683,4.863091771;"{""coordinates"": [4.863091771, 50.4654645683], ""type"": ""Point""}"
Rue Bruno;1213;6;23;50.4648527228,4.8577063679;"{""coordinates"": [4.8577063679, 50.4648527228], ""type"": ""Point""}"
Rue Joseph Saintraint;1286;5;32;50.4631699087,4.8610646731;"{""coordinates"": [4.8610646731, 50.4631699087], ""type"": ""Point""}"
Rue des Carmes;1216;52;51;50.4669663491,4.8639330301;"{""coordinates"": [4.8639330301, 50.4669663491], ""type"": ""Point""}"
Rue Pepin;1279;34;86;50.4659555292,4.8693504723;"{""coordinates"": [4.8693504723, 50.4659555292], ""type"": ""Point""}"
Rue des Bourgeois;1804;;115;50.4663350524,4.8741598217;"{""coordinates"": [4.8741598217, 50.4663350524], ""type"": ""Point""}"
Boulevard Cauchy;1807;19;123;50.4683840885,4.8716695511;"{""coordinates"": [4.8716695511, 50.4683840885], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;1A;210;50.4556113714,4.8744316192;"{""coordinates"": [4.8744316192, 50.4556113714], ""type"": ""Point""}"
Rue Joseph Grafé;1244;1;27;50.4662968607,4.8599654162;"{""coordinates"": [4.8599654162, 50.4662968607], ""type"": ""Point""}"
Rue de l'Arsenal;1202;9;30;50.4639953774,4.8587127565;"{""coordinates"": [4.8587127565, 50.4639953774], ""type"": ""Point""}"
Rue Godefroid;1242;25;57;50.4670383212,4.8624429321;"{""coordinates"": [4.8624429321, 50.4670383212], ""type"": ""Point""}"
Rue Lucien Namêche;1273;10;91;50.4664054893,4.8688733592;"{""coordinates"": [4.8688733592, 50.4664054893], ""type"": ""Point""}"
Boulevard Ernest Mélot;1269;40;92;50.4682714031,4.8596327682;"{""coordinates"": [4.8596327682, 50.4682714031], ""type"": ""Point""}"
Rue de l'Armée Grouchy;1251;17;99;50.469489282,4.8537598722;"{""coordinates"": [4.8537598722, 50.469489282], ""type"": ""Point""}"
Rue Général Michel;1823;15;134;50.4671992412,4.8711693052;"{""coordinates"": [4.8711693052, 50.4671992412], ""type"": ""Point""}"
Place Wiertz;1691;7;409;50.4642122502,4.8488670216;"{""coordinates"": [4.8488670216, 50.4642122502], ""type"": ""Point""}"
